profile,national_id,display_id,target_status,warning_metric,target_behavior_change,notes
presentation-6,990000000201,COW-201,warning,feed_bunk,"급이대 약 -20.0%","마지막 3일 연속 warning, 실제 baseline/policy 계산"
presentation-6,990000000202,COW-202,normal,,"급이대 약 -1.8%, 누움 약 -1.0%","실제 baseline/policy 계산"
presentation-6,990000000203,COW-203,warning,lying,"누움 -33.2%","대상일 첫 warning, 실제 baseline/policy 계산"
presentation-6,990000000204,COW-204,normal,,"변화 임계 미충족","확장 profile용 정상 예시"
presentation-6,990000000205,COW-205,normal,,"변화 임계 미충족","확장 profile용 정상 예시"
presentation-6,990000000206,COW-206,insufficient_baseline,,"직전 유효일 6/10","확장 profile용 cold-start 예시"
presentation-3,990000000201,COW-201,warning,feed_bunk,"급이대 -20.0%","마지막 3일 연속 warning, 13개 일별 seed row"
presentation-3,990000000202,COW-202,normal,,"급이대 약 -1.8%, 누움 약 -1.0%","11개 일별 seed row"
presentation-3,990000000203,COW-203,warning,lying,"누움 -33.2%","대상일 첫 warning, 11개 일별 seed row"
guest-6,990000000001,COW-001,warning,feed_bunk,"급이대 약 -19.5%","게스트 예시, 11개 일별 seed row"
guest-6,990000000002,COW-002,normal,,"변화 임계 미충족","게스트 예시, 11개 일별 seed row"
guest-6,990000000003,COW-003,warning,lying,"누움 -32.5%","게스트 예시, 11개 일별 seed row"
guest-6,990000000004,COW-004,normal,,"변화 임계 미충족","게스트 예시, 11개 일별 seed row"
guest-6,990000000005,COW-005,normal,,"변화 임계 미충족","게스트 예시, 11개 일별 seed row"
guest-6,990000000006,COW-006,insufficient_baseline,,"직전 유효일 6/10","게스트 예시, 7개 일별 seed row"
