exp,eval_set,gray,threshold,top1,misassign_rate,hold_rate,acc_within_coverage
gray_clahe,zenodo_unseen67,True,0.0,0.9921,0.0079,0.0,0.9921
gray_clahe,zenodo_unseen67,True,0.05,0.9921,0.0079,0.0,0.9921
gray_clahe,zenodo_unseen67,True,0.1,0.9921,0.0079,0.0,0.9921
gray_clahe,zenodo_unseen67,True,0.15,0.9921,0.0079,0.0,0.9921
gray_clahe,zenodo_unseen67,True,0.2,0.9921,0.0069,0.001,0.9931
gray_clahe,zenodo_unseen67,True,0.25,0.9921,0.0069,0.002,0.9931
gray_clahe,zenodo_unseen67,True,0.3,0.9921,0.0069,0.0029,0.9931
gray_clahe,zenodo_unseen67,True,0.35,0.9921,0.0069,0.0049,0.9931
gray_clahe,zenodo_unseen67,True,0.4,0.9921,0.0059,0.0138,0.994
gray_clahe,zenodo_unseen67,True,0.45,0.9921,0.0029,0.0246,0.997
gray_clahe,zenodo_unseen67,True,0.5,0.9921,0.001,0.0383,0.999
gray_clahe,zenodo_unseen67,True,0.55,0.9921,0.0,0.0511,1.0
gray_clahe,zenodo_unseen67,True,0.6,0.9921,0.0,0.0678,1.0
gray_clahe,zenodo_unseen67,True,0.65,0.9921,0.0,0.1091,1.0
gray_clahe,zenodo_unseen67,True,0.7,0.9921,0.0,0.1721,1.0
gray_clahe,zenodo_unseen67,True,0.75,0.9921,0.0,0.2517,1.0
gray_clahe,zenodo_unseen67,True,0.8,0.9921,0.0,0.3904,1.0
gray_clahe,zenodo_unseen67,True,0.85,0.9921,0.0,0.589,1.0
gray_clahe,zenodo_unseen67,True,0.9,0.9921,0.0,0.8004,1.0
gray_clahe,zenodo_unseen67,True,0.95,0.9921,0.0,0.9695,1.0
gray_clahe,cff_crossdataset,True,0.0,0.8127,0.1873,0.0,0.8127
gray_clahe,cff_crossdataset,True,0.05,0.8127,0.1873,0.0,0.8127
gray_clahe,cff_crossdataset,True,0.1,0.8127,0.1873,0.0,0.8127
gray_clahe,cff_crossdataset,True,0.15,0.8127,0.1873,0.0,0.8127
gray_clahe,cff_crossdataset,True,0.2,0.8127,0.1873,0.0,0.8127
gray_clahe,cff_crossdataset,True,0.25,0.8127,0.1873,0.0,0.8127
gray_clahe,cff_crossdataset,True,0.3,0.8127,0.1873,0.0,0.8127
gray_clahe,cff_crossdataset,True,0.35,0.8127,0.1873,0.0,0.8127
gray_clahe,cff_crossdataset,True,0.4,0.8127,0.1873,0.0,0.8127
gray_clahe,cff_crossdataset,True,0.45,0.8127,0.1843,0.003,0.8152
gray_clahe,cff_crossdataset,True,0.5,0.8127,0.1843,0.003,0.8152
gray_clahe,cff_crossdataset,True,0.55,0.8127,0.1843,0.003,0.8152
gray_clahe,cff_crossdataset,True,0.6,0.8127,0.1813,0.0091,0.8171
gray_clahe,cff_crossdataset,True,0.65,0.8127,0.1782,0.0121,0.8196
gray_clahe,cff_crossdataset,True,0.7,0.8127,0.1541,0.0483,0.8381
gray_clahe,cff_crossdataset,True,0.75,0.8127,0.0816,0.1662,0.9022
gray_clahe,cff_crossdataset,True,0.8,0.8127,0.0121,0.4381,0.9785
gray_clahe,cff_crossdataset,True,0.85,0.8127,0.0,0.6767,1.0
gray_clahe,cff_crossdataset,True,0.9,0.8127,0.0,0.9124,1.0
gray_clahe,cff_crossdataset,True,0.95,0.8127,0.0,1.0,
